valor,rsi,b7l,b7u,b21l,b21u,ema100,ema200
"[139.931165, 42.11686314710236, 139.76184651957303, 140.1454863375699, 139.75832751745475, 140.33378724445004, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.931665, 42.225077081194065, 139.76195075537274, 140.14552495891306, 139.758400537821, 140.3337618431314, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.936875, 43.38666244257521, 139.76302827651025, 140.14593600920412, 139.75914848619385, 140.3335100852347, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.944385, 45.17813943259473, 139.7645536917656, 140.14655630823447, 139.76018494241023, 140.33318886711353, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.937715, 43.57995226730193, 139.76320052846532, 140.14600375724902, 139.75926686412652, 140.33347170730207, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.930715, 42.01994374840013, 139.76175258379936, 140.14545170191496, 139.75826161379428, 140.33381029096762, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.930715, 42.01994374840013, 139.76175258379936, 140.14545170191496, 139.75826161379428, 140.33381029096762, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.936665, 43.338607594937386, 139.76298514941539, 140.14591913629897, 139.75911879555161, 140.333519775877, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.939455, 43.98586799422032, 139.76355602975931, 140.1461453988122, 139.7595101160675, 140.33339416964682, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.937475, 43.524551088511984, 139.76315135549723, 140.14598435878852, 139.75923310467437, 140.33348260961134, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
