datetime,pontos,valor,rsi,b7l,b7u,b21l,b21u,ema100,ema200
"[datetime.datetime(2023, 2, 17, 8, 45, 0, 416526), -1, 1.193475, 40.76433121020171, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938645000000006, 1.1935325750000003, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 1, 439772), -1, 1.19348, 39.215686274510375, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938610000000005, 1.1935382250000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 2, 460738), -1, 1.19359, 46.857142857134015, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938621000000007, 1.1935387750000006, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 3, 481022), -1, 1.193515, 41.875000000001386, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938613500000006, 1.1935384000000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 4, 509024), -1, 1.19351, 41.509433962263095, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938613000000007, 1.1935383750000006, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 5, 529007), -1, 1.193545, 43.97590361445767, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938616500000006, 1.1935385500000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 6, 545432), -1, 1.19355, 44.31137724551105, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938617000000007, 1.1935385750000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 7, 577460), -1, 1.193585, 46.55172413792003, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938620500000006, 1.1935387500000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 8, 609245), -1, 1.19358, 46.24277456647457, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938620000000006, 1.1935387250000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 45, 9, 627742), -1, 1.193585, 46.55172413792003, 1.1933477272730322, 1.193900844155539, 1.1929583534764863, 1.1943297417616088, 1.1938620500000006, 1.1935387500000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
